trade_date,基准_全市场平均,精选全板块多空对冲策略,最优因子暴露组(G4),最差因子暴露组(G0)
2018-01-10,0.985437,1.0444914,1.0106201,0.9661287
2018-01-11,0.9679007,1.13141,1.0106201,0.88573116
2018-01-12,0.94556814,1.1916379,1.0106201,0.83858144
2018-01-15,0.9327324,1.281247,1.0106201,0.7755216
2018-01-16,0.92499846,1.3628714,1.0106201,0.7261154
2018-01-17,0.9200582,1.4554639,1.0106201,0.6767836
2018-01-18,0.9142368,1.527482,1.0106201,0.6432955
2018-01-19,0.92037725,1.5846064,1.0106201,0.6192378
2018-01-22,0.92478955,1.6077372,1.0106201,0.6101987
2018-01-23,0.93255424,1.6271938,1.0106201,0.60281414
2018-01-24,0.94697213,1.6378088,0.99881554,0.5918405
2018-01-25,0.95603,1.6356182,0.9792469,0.58103687
2018-01-26,0.9691308,1.6421565,0.9616234,0.5682572
2018-01-29,0.9725318,1.6511047,0.94038725,0.5526116
2018-01-30,0.9830819,1.6537014,0.9266667,0.5436797
2018-01-31,0.98976046,1.6621581,0.9147393,0.5339016
2018-02-01,1.0001713,1.6737043,0.90169674,0.5225804
2018-02-02,1.0023248,1.6438849,0.8711716,0.5142
2018-02-05,1.0055296,1.6382905,0.84327215,0.4994825
2018-02-06,1.0126668,1.6698972,0.8316626,0.48296976
2018-02-07,1.0195973,1.6746681,0.81952816,0.4745431
2018-02-08,1.0270292,1.6640722,0.8041279,0.46862814
2018-02-09,1.0407315,1.6365745,0.78614306,0.46589077
2018-02-12,1.0419997,1.6313353,0.7664564,0.4557154
2018-02-13,1.040118,1.6283748,0.741737,0.44184485
2018-02-14,1.0290576,1.5820351,0.70464754,0.43232498
2018-02-22,1.018801,1.5216912,0.6741993,0.4301342
2018-02-23,0.9915169,1.4438069,0.621002,0.41821018
2018-02-26,0.9601742,1.3413246,0.56336945,0.40908268
2018-02-27,0.93053854,1.2617276,0.51545614,0.39856693
2018-02-28,0.8605799,1.2197359,0.4537692,0.3641334
2018-03-01,0.7952259,1.2283858,0.40176708,0.31982124
2018-03-02,0.7474325,1.2423247,0.36496028,0.2868926
2018-03-05,0.71387184,1.200472,0.33288684,0.27134505
2018-03-06,0.6798543,1.1739122,0.3014285,0.25170586
2018-03-07,0.65421444,1.1030391,0.2772813,0.24673824
2018-03-08,0.64222574,1.0624664,0.2613361,0.24162509
2018-03-09,0.6364487,1.0109452,0.2493598,0.242269
2018-03-12,0.6258919,0.9757078,0.23703663,0.23874076
2018-03-13,0.61259574,0.941621,0.22450194,0.23445646
2018-03-14,0.606019,0.88001776,0.21100727,0.23570217
