symbol,name,direction,entry_date,entry_price,latest_price,ret_pct,days_held,days_remaining,exit_date,pnl_emoji,as_of_date,close_date,round_ret_pct
EC,集运欧线,多▲,2026-05-22,3000.0,3046.5,1.55,5,0,2026-05-29,✅,2026-05-29,2026-05-29,1.55
LC,碳酸锂,多▲,2026-05-22,184460.0,179740.0,-2.56,5,0,2026-05-29,❌,2026-05-29,2026-05-29,-2.56
SI,工业硅,多▲,2026-05-22,8440.0,8585.0,1.72,5,0,2026-05-29,✅,2026-05-29,2026-05-29,1.72
EC,集运欧线,多▲,2026-05-22,3000.0,3046.5,1.55,5,0,2026-05-29,✅,2026-05-29,2026-05-29,1.55
LC,碳酸锂,多▲,2026-05-22,184460.0,179740.0,-2.56,5,0,2026-05-29,❌,2026-05-29,2026-05-29,-2.56
SI,工业硅,多▲,2026-05-22,8440.0,8585.0,1.72,5,0,2026-05-29,✅,2026-05-29,2026-05-29,1.72
EC,集运欧线,多▲,2026-05-22,3000.0,3899.0,29.97,6,0,2026-05-29,✅,2026-06-01,2026-06-01,29.97
LC,碳酸锂,多▲,2026-05-22,184460.0,178900.0,-3.01,6,0,2026-05-29,❌,2026-06-01,2026-06-01,-3.01
SI,工业硅,多▲,2026-05-22,8440.0,8745.0,3.61,6,0,2026-05-29,✅,2026-06-01,2026-06-01,3.61
EC,集运欧线,多▲,2026-05-22,3000.0,3667.0,22.23,7,0,2026-05-29,✅,2026-06-02,2026-06-02,22.23
LC,碳酸锂,多▲,2026-05-22,184460.0,172980.0,-6.22,7,0,2026-05-29,❌,2026-06-02,2026-06-02,-6.22
SI,工业硅,多▲,2026-05-22,8440.0,8690.0,2.96,7,0,2026-05-29,✅,2026-06-02,2026-06-02,2.96
