signal_date,symbol,sector,score,risk_level,direction
2026-05-29,SN,有色,0.0,44.0,多头
2026-05-29,BC,有色,0.0,33.4,多头
2026-05-29,CU,有色,0.0,32.0,多头
2026-05-29,FG,黑色,0.0,53.8,多头
2026-05-29,AL,有色,0.0,31.0,多头
2026-05-29,JM,黑色,0.0,94.9,多头
2026-05-29,I,黑色,0.0,34.1,多头
2026-05-29,RB,黑色,0.0,40.6,多头
2026-05-29,ZN,有色,0.0,35.7,多头
2026-05-29,J,黑色,0.0,90.6,多头
2026-05-29,LH,农产品,10.0,48.9,空头
2026-05-29,CJ,农产品,8.77,50.0,空头
2026-05-29,PK,农产品,7.61,25.5,空头
2026-05-29,AP,农产品,7.01,47.6,空头
2026-05-29,A,农产品,4.41,41.7,空头
2026-05-29,JD,农产品,3.92,69.5,空头
2026-05-29,B,农产品,3.35,43.1,空头
2026-05-29,M,农产品,2.8,36.3,空头
2026-05-29,C,农产品,2.17,30.1,空头
2026-05-29,RM,农产品,2.15,44.1,空头
