factor_name,source,sector,family,direction,total_score,r2_vs_v6,is_orthogonalized,fused_out
f_wsr_hist_5d_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
ret_skew_w120_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
sector_corr_20,v6_common,黑色,通用,多▲,0.85,,False,False
ret_skew_w60_cs_rank,v6_common,黑色,通用,多▲,0.85,,False,False
f_oi_ratio,v6_common,黑色,通用,多▲,0.85,,False,False
distance_from_ma20_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
f_wsr_cs_rank_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
vr_skew_w120_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
f_amount_hist_3d_ts_z,v6_common,黑色,通用,多▲,0.85,,False,False
f_amount_cv_20_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
f_range_per_vol_10_ts_z,v6_common,黑色,通用,多▲,0.85,,False,False
f_g_pv_oi_momentum_x_pv_wad,v6_common,黑色,通用,多▲,0.85,,False,False
change2_cs_z,v6_common,黑色,量价动量,多▲,0.85,,False,False
f_g_pv_oi_diff_x_pv_wad,v6_common,黑色,通用,多▲,0.85,,False,False
f_wsr_ratio_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
ret_kurt_w120_cs_rank,v6_common,黑色,通用,多▲,0.85,,False,False
f_log_roll_yield,v6_common,黑色,通用,多▲,0.85,,False,False
f_vol_skew_20_cs_z,v6_common,黑色,通用,多▲,0.85,,False,False
pv_addi_cs_rank,v6_common,黑色,通用,多▲,0.85,,False,False
ret_kurt_w60_cs_rank,v6_common,黑色,通用,多▲,0.85,,False,False
f_oi_near_max_60_orth,v7_sector_orth,黑色,持仓驱动,多▲,0.85,1.0,True,False
pv_wad_cs_z_orth,v7_sector_orth,黑色,其他内生,多▲,0.85,0.9999886724733501,True,False
change2_cs_z_orth,v7_sector_orth,黑色,量价动量,多▲,0.85,1.0,True,False
volatility_10_cs_rank_orth,v7_sector_orth,黑色,量能活跃,多▲,0.85,1.0,True,False
f_beta_intertemporal_orth,v7_sector_orth,黑色,其他内生,多▲,0.85,1.0,True,False
f_wsr_hist_5d_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
ret_skew_w120_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
sector_corr_20,v6_common,有色,板块动能,多▲,0.85,,False,False
ret_skew_w60_cs_rank,v6_common,有色,通用,多▲,0.85,,False,False
f_oi_ratio,v6_common,有色,通用,多▲,0.85,,False,False
distance_from_ma20_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
f_wsr_cs_rank_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
vr_skew_w120_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
f_amount_hist_3d_ts_z,v6_common,有色,通用,多▲,0.85,,False,False
f_amount_cv_20_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
f_range_per_vol_10_ts_z,v6_common,有色,通用,多▲,0.85,,False,False
f_g_pv_oi_momentum_x_pv_wad,v6_common,有色,通用,多▲,0.85,,False,False
change2_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
f_g_pv_oi_diff_x_pv_wad,v6_common,有色,通用,多▲,0.85,,False,False
f_wsr_ratio_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
ret_kurt_w120_cs_rank,v6_common,有色,通用,多▲,0.85,,False,False
f_log_roll_yield,v6_common,有色,通用,多▲,0.85,,False,False
f_vol_skew_20_cs_z,v6_common,有色,通用,多▲,0.85,,False,False
pv_addi_cs_rank,v6_common,有色,其他内生,多▲,0.85,,False,False
ret_kurt_w60_cs_rank,v6_common,有色,通用,多▲,0.85,,False,False
sector_corr_20_orth,v7_sector_orth,有色,板块动能,多▲,0.85,1.0,True,False
pv_addi_cs_rank_orth,v7_sector_orth,有色,其他内生,多▲,0.85,1.0,True,False
f_wsr_vs_sector_avg_orth,v7_sector_orth,有色,板块动能,多▲,0.85,0.9999999993217163,True,False
wad_cs_rank_orth,v7_sector_orth,有色,其他内生,多▲,0.85,1.0,True,False
hilbert_amp_cs_z_orth,v7_sector_orth,有色,其他内生,多▲,0.85,1.0,True,False
f_wsr_hist_5d_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
ret_skew_w120_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
sector_corr_20,v6_common,能源,通用,多▲,0.85,,False,False
ret_skew_w60_cs_rank,v6_common,能源,通用,多▲,0.85,,False,False
f_oi_ratio,v6_common,能源,通用,多▲,0.85,,False,False
distance_from_ma20_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
f_wsr_cs_rank_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
vr_skew_w120_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
f_amount_hist_3d_ts_z,v6_common,能源,通用,多▲,0.85,,False,False
f_amount_cv_20_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
f_range_per_vol_10_ts_z,v6_common,能源,通用,多▲,0.85,,False,False
f_g_pv_oi_momentum_x_pv_wad,v6_common,能源,通用,多▲,0.85,,False,False
change2_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
f_g_pv_oi_diff_x_pv_wad,v6_common,能源,通用,多▲,0.85,,False,False
f_wsr_ratio_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
ret_kurt_w120_cs_rank,v6_common,能源,通用,多▲,0.85,,False,False
f_log_roll_yield,v6_common,能源,通用,多▲,0.85,,False,False
f_vol_skew_20_cs_z,v6_common,能源,通用,多▲,0.85,,False,False
pv_addi_cs_rank,v6_common,能源,其他内生,多▲,0.85,,False,False
ret_kurt_w60_cs_rank,v6_common,能源,微观分布,多▲,0.85,,False,False
vol_wsr_cs_z_orth,v7_sector_orth,能源,仓单结构,多▲,0.85,1.0,True,False
ret_kurt_w60_cs_rank_orth,v7_sector_orth,能源,微观分布,多▲,0.85,1.0,True,False
pv_addi_cs_rank_orth,v7_sector_orth,能源,其他内生,多▲,0.85,1.0,True,False
close_orth,v7_sector_orth,能源,其他内生,多▲,0.85,1.0,True,False
ret_kurt_w120_cs_z_orth,v7_sector_orth,能源,微观分布,多▲,0.85,1.0,True,False
f_wsr_hist_5d_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
ret_skew_w120_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
sector_corr_20,v6_common,化工,通用,多▲,0.85,,False,False
ret_skew_w60_cs_rank,v6_common,化工,通用,多▲,0.85,,False,False
f_oi_ratio,v6_common,化工,通用,多▲,0.85,,False,False
distance_from_ma20_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
f_wsr_cs_rank_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
vr_skew_w120_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
f_amount_hist_3d_ts_z,v6_common,化工,通用,多▲,0.85,,False,False
f_amount_cv_20_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
f_range_per_vol_10_ts_z,v6_common,化工,通用,多▲,0.85,,False,False
f_g_pv_oi_momentum_x_pv_wad,v6_common,化工,通用,多▲,0.85,,False,False
change2_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
f_g_pv_oi_diff_x_pv_wad,v6_common,化工,通用,多▲,0.85,,False,False
f_wsr_ratio_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
ret_kurt_w120_cs_rank,v6_common,化工,通用,多▲,0.85,,False,False
f_log_roll_yield,v6_common,化工,通用,多▲,0.85,,False,False
f_vol_skew_20_cs_z,v6_common,化工,通用,多▲,0.85,,False,False
pv_addi_cs_rank,v6_common,化工,其他内生,多▲,0.85,,False,False
ret_kurt_w60_cs_rank,v6_common,化工,微观分布,多▲,0.85,,False,False
vol_wsr_cs_z_orth,v7_sector_orth,化工,仓单结构,多▲,0.85,0.9998849602804645,True,False
ret_kurt_w60_cs_rank_orth,v7_sector_orth,化工,微观分布,多▲,0.85,1.0,True,False
pv_addi_cs_rank_orth,v7_sector_orth,化工,其他内生,多▲,0.85,1.0,True,False
close_orth,v7_sector_orth,化工,其他内生,多▲,0.85,0.9984933043427204,True,False
ret_kurt_w120_cs_z_orth,v7_sector_orth,化工,微观分布,多▲,0.85,1.0,True,False
f_wsr_hist_5d_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
ret_skew_w120_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
sector_corr_20,v6_common,农产品,通用,多▲,0.85,,False,False
ret_skew_w60_cs_rank,v6_common,农产品,通用,多▲,0.85,,False,False
f_oi_ratio,v6_common,农产品,通用,多▲,0.85,,False,False
distance_from_ma20_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
f_wsr_cs_rank_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
vr_skew_w120_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
f_amount_hist_3d_ts_z,v6_common,农产品,通用,多▲,0.85,,False,False
f_amount_cv_20_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
f_range_per_vol_10_ts_z,v6_common,农产品,通用,多▲,0.85,,False,False
f_g_pv_oi_momentum_x_pv_wad,v6_common,农产品,通用,多▲,0.85,,False,False
change2_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
f_g_pv_oi_diff_x_pv_wad,v6_common,农产品,通用,多▲,0.85,,False,False
f_wsr_ratio_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
ret_kurt_w120_cs_rank,v6_common,农产品,微观分布,多▲,0.85,,False,False
f_log_roll_yield,v6_common,农产品,通用,多▲,0.85,,False,False
f_vol_skew_20_cs_z,v6_common,农产品,通用,多▲,0.85,,False,False
pv_addi_cs_rank,v6_common,农产品,通用,多▲,0.85,,False,False
ret_kurt_w60_cs_rank,v6_common,农产品,通用,多▲,0.85,,False,False
close_orth,v7_sector_orth,农产品,其他内生,多▲,0.85,0.9997025297899391,True,False
ret_kurt_w120_cs_rank_orth,v7_sector_orth,农产品,微观分布,多▲,0.85,1.0,True,False
vol_skew_z_w120_cs_rank_orth,v7_sector_orth,农产品,量能活跃,多▲,0.85,1.0,True,False
f_oi_dd_20_orth,v7_sector_orth,农产品,持仓驱动,多▲,0.85,1.0,True,False
hilbert_amp_cs_z_orth,v7_sector_orth,农产品,其他内生,多▲,0.85,1.0,True,False
