factor,category,direction,total_score,ic_multi,mono_pct,oos_ic,oos_decay,best_label,label_5d,label_10d,label_20d
f_wsr_hist_5d_cs_z,仓单(WSR),long,0.5564,0.0624,0.0232,0.0485,-0.2248,label_20d,0.0407,0.0564,0.076
ret_skew_w120_cs_z,分布(Dist),short,0.3701,0.0286,0.0305,0.0339,-1.0593,label_20d,-0.0202,-0.0273,-0.0332
sector_corr_20,其他,long,0.3563,0.0261,0.0312,0.0486,-2.9251,label_20d,0.0209,0.0259,0.0286
ret_skew_w60_cs_rank,分布(Dist),short,0.3548,0.0261,0.0275,0.0207,-0.1214,label_20d,-0.0188,-0.0244,-0.0305
f_oi_ratio,持仓(OI),long,0.3347,0.0225,0.0288,0.0544,-9.5463,label_20d,0.015,0.0206,0.027
distance_from_ma20_cs_z,其他,short,0.3264,0.0188,0.0592,0.0149,-0.1443,label_20d,-0.0133,-0.0169,-0.0225
f_wsr_cs_rank_cs_z,仓单(WSR),long,0.3254,0.0206,0.0316,0.0212,-0.4,label_20d,0.0164,0.0214,0.0218
vr_skew_w120_cs_z,分布(Dist),short,0.3225,0.0201,0.0317,0.0242,-0.5398,label_20d,-0.0174,-0.0178,-0.0229
f_amount_hist_3d_ts_z,量能(VOL),short,0.3213,0.028,0.0385,0.0171,0.2425,label_20d,-0.0212,-0.0287,-0.0305
f_amount_cv_20_cs_z,量能(VOL),short,0.3176,0.0188,0.0372,0.0308,-1.5994,label_20d,-0.016,-0.018,-0.0206
f_range_per_vol_10_ts_z,量能(VOL),short,0.3162,0.0399,0.0227,0.0125,0.5696,label_20d,-0.0197,-0.0331,-0.0534
f_g_pv_oi_momentum_x_pv_wad,持仓(OI),long,0.3156,0.0197,0.0198,0.0257,-1.717,label_20d,0.0131,0.0182,0.0236
change2_cs_z,动量(Mom),short,0.3141,0.0182,0.0365,0.0204,-0.0254,label_5d,-0.0198,-0.0197,-0.0165
f_g_pv_oi_diff_x_pv_wad,持仓(OI),long,0.313,0.0193,0.0188,0.0233,-1.3316,label_20d,0.0129,0.0193,0.022
f_wsr_ratio_cs_z,仓单(WSR),long,0.3117,0.0193,0.0158,0.0276,-1.3273,label_20d,0.0137,0.0187,0.0221
ret_kurt_w120_cs_rank,分布(Dist),short,0.3097,0.0198,0.032,0.0117,0.0566,label_20d,-0.0123,-0.0171,-0.0249
f_log_roll_yield,其他,short,0.3094,0.0177,0.0317,0.0265,-0.6929,label_10d,-0.0172,-0.0179,-0.0179
f_vol_skew_20_cs_z,量能(VOL),short,0.3091,0.0185,0.0198,0.0216,-0.5845,label_10d,-0.0155,-0.0211,-0.018
pv_addi_cs_rank,其他,short,0.3068,0.0253,0.0589,0.0118,0.2785,label_20d,-0.0098,-0.0183,-0.0369
ret_kurt_w60_cs_rank,分布(Dist),short,0.3047,0.0279,0.0221,0.0127,0.2877,label_20d,-0.0168,-0.0245,-0.035
