sector,factor_name,family,direction,total_score,ic_multi,mono_pct,oos_decay,best_label
能化,vol_wsr_cs_z,仓单结构,多▲,0.9578,0.1046,1.0,0.2112,label_20d
能化,ret_kurt_w60_cs_rank,微观分布,空▼,0.7971,0.0696,1.0,0.335,label_20d
能化,pv_addi_cs_rank,其他内生,空▼,0.7817,0.0857,1.0,0.724,label_20d
能化,close,其他内生,空▼,0.7611,0.0643,1.0,0.4122,label_20d
能化,ret_kurt_w120_cs_z,微观分布,空▼,0.7476,0.0395,1.0,-0.1802,label_20d
黑色,f_oi_near_max_60,持仓驱动,多▲,0.8356,0.0597,1.0,-0.2483,label_20d
黑色,pv_wad_cs_z,其他内生,空▼,0.7758,0.0448,1.0,-2.2483,label_20d
黑色,change2_cs_z,量价动量,空▼,0.7688,0.0431,1.0,-0.2015,label_10d
黑色,volatility_10_cs_rank,量能活跃,空▼,0.7587,0.0405,1.0,-9.8997,label_20d
黑色,f_beta_intertemporal,其他内生,空▼,0.7498,0.0383,1.0,-1.1675,label_10d
有色,sector_corr_20,板块动能,多▲,1.0,0.0691,1.0,-0.9545,label_20d
有色,pv_addi_cs_rank,其他内生,多▲,0.9789,0.0658,1.0,0.0077,label_10d
有色,f_wsr_vs_sector_avg,板块动能,多▲,0.9481,0.0603,1.0,-0.0638,label_20d
有色,wad_cs_rank,其他内生,多▲,0.8924,0.0509,1.0,-5.9044,label_20d
有色,hilbert_amp_cs_z,其他内生,多▲,0.8702,0.0471,1.0,-4.4702,label_20d
农产品,close,其他内生,空▼,0.9971,0.0866,1.0,0.0146,label_20d
农产品,ret_kurt_w120_cs_rank,微观分布,空▼,0.8647,0.0577,1.0,-0.7447,label_20d
农产品,vol_skew_z_w120_cs_rank,量能活跃,多▲,0.8581,0.0563,1.0,-0.5742,label_20d
农产品,f_oi_dd_20,持仓驱动,空▼,0.8346,0.0513,1.0,-0.0635,label_20d
农产品,hilbert_amp_cs_z,其他内生,空▼,0.8077,0.0455,1.0,-0.0503,label_5d
软商,wad_cs_rank,其他内生,空▼,1.0,0.0974,1.0,-0.3431,label_20d
软商,f_vol_near_max_60,量能活跃,空▼,0.8554,0.0624,1.0,-2.028,label_20d
软商,vol_cs_rank,量能活跃,空▼,0.8461,0.0601,1.0,-0.537,label_20d
软商,f_oi_cv_20,持仓驱动,多▲,0.8318,0.0567,1.0,-0.3735,label_10d
软商,f_vol_ratio_1d,量能活跃,多▲,0.8178,0.0533,1.0,-0.1355,label_10d
金融,ret_kurt_w120_cs_z,微观分布,多▲,0.6693,0.1142,0.2,0.0263,label_20d
金融,f_vol_hist_5d,量能活跃,多▲,0.6684,0.1124,0.2,-0.0662,label_20d
金融,f_vol_skew_40,量能活跃,多▲,0.6517,0.1076,0.2,-3.0002,label_20d
金融,hilbert_amp_cs_rank,其他内生,多▲,0.644,0.1054,0.2,-0.3271,label_20d
金融,vol_cs_z,量能活跃,多▲,0.6068,0.0946,0.2,-2.6717,label_20d
