factor,ICIR,is_timeseries
f_g_hurst_strength_vol_norm,0.0895491566223814,False
f_g_f_relative_rsi_diff_rank_x_pv_wad_rank,-0.07873928248536077,False
f_g_ma5_vol_norm,-0.0944486917873084,False
f_g_bias_diff_rank_x_hurst_value_rank,-0.0951198403085296,False
f_g_hurst_value_vol_norm,-0.09925052092635771,False
f_g_f_relative_rsi_diff_rank_x_ma5_rank,-0.11859943388186024,False
f_化工_bias_diff_x_hurst_strength,0.1439012420311599,False
f_化工_hurst_strength_vol_norm,0.1368608127334358,False
f_黑色_ma5_raw_x_volnorm,0.0981665980175112,False
f_化工_bias_diff_rank_x_hurst_strength_rank,0.09791382110208253,False
f_化工_mfi_index_raw_x_volnorm,0.09239609875872402,False
f_化工_f_relative_rsi_diff_vol_norm,0.09056957753211815,False
f_化工_f_relative_rsi_diff_sq,0.08864756151868042,False
f_有色_hurst_signal_long_raw_x_volnorm,0.08750416416039818,False
f_化工_f_relative_rsi_diff_raw_x_volnorm,0.08560364990736123,False
f_黑色_bias_diff_rank_x_hurst_signal_short_rank,-0.08314809790836292,False
f_黑色_bias_diff_rank_x_f_relative_rsi_diff_rank,-0.08334075683483395,False
f_黑色_bias_diff_rank_x_vol_wsr_rank,-0.08341983978690072,False
f_化工_hurst_signal_long_raw_x_volnorm,-0.08681457918460378,False
f_化工_hurst_signal_long_vol_norm,-0.08935217028351441,False
f_有色_bias_diff_logx_f_relative_rsi_diff,-0.08963192809483814,False
f_黑色_bias_diff_rank_x_mfi_index_rank,-0.09167270103135174,False
f_黑色_ma5_vol_norm,-0.0925503342574053,False
f_有色_bias_diff_rank_x_vol_wsr_rank,-0.09339507779152646,False
f_黑色_bias_diff_rank_x_bias_diff_rank,-0.09360611913125476,False
f_黑色_bias_diff_rank_x_hurst_signal_long_rank,-0.09474324587853925,False
f_化工_bias_diff_rank_x_hurst_value_rank,-0.09691433992606255,False
f_黑色_bias_diff_rank_x_pv_wad_rank,-0.09711444070010973,False
f_黑色_bias_diff_vol_norm,-0.09771686786834001,False
f_黑色_bias_diff_div_bias_diff,-0.09972976305465922,False
f_有色_f_relative_rsi_diff_vol_norm,-0.09993256266055814,False
f_黑色_bias_diff_rank_x_pv_skew_ma5_rank,-0.10325615430223169,False
f_有色_bias_diff_rank_x_f_relative_rsi_diff_rank,-0.10416276074390851,False
f_有色_bias_diff_raw_x_volnorm,-0.10699239601293911,False
f_有色_bias_diff_x_f_relative_rsi_diff,-0.10798336598539797,False
f_黑色_bias_diff_rank_x_hurst_value_rank,-0.10950669232455945,False
f_黑色_bias_diff_div_f_relative_rsi_diff,-0.11016729216361881,False
f_农产品_hurst_strength_raw_x_volnorm,-0.11461764483472177,False
f_黑色_bias_diff_rank_x_ma5_rank,-0.1242996155743453,False
f_化工_hurst_value_vol_norm,-0.12625145192080522,False
