column,type,missing_rate
trade_date,datetime64[ms],0.00%
symbol,str,0.00%
ret_1d_lag,float32,0.12%
dxy_cs_z,float32,0.00%
us10y_cs_z,float32,0.00%
vix_cs_z,float32,0.00%
wti_cs_z,float32,0.00%
sp500_cs_z,float32,0.00%
momentum_5_cs_rank,float32,0.30%
ma5_cs_rank,float32,0.24%
ma10_cs_rank,float32,0.54%
distance_from_ma20_cs_z,float32,0.00%
ret_1_cs_rank,float32,0.06%
volatility_10_cs_rank,float32,0.60%
vol_skew_w30_cs_rank,float32,1.01%
vol_skew_w120_cs_rank,float32,3.69%
vol_kurt_w60_cs_rank,float32,1.90%
vr_kurt_w60_cs_rank,float32,1.31%
pv_oi_efficiency_cs_rank,float32,0.30%
pv_oi_momentum_cs_rank,float32,0.30%
pv_oi_vol_ratio_cs_rank,float32,0.00%
pv_skew_ratio_cs_rank,float32,0.11%
pv_ddi_cs_rank,float32,0.89%
hurst_strength_cs_rank,float32,5.90%
auto_corr_l1_cs_rank,float32,3.07%
hilbert_phase_cs_rank,float32,3.76%
vr_ratio_cs_rank,float32,1.37%
kc_squeeze_cs_rank,float32,0.00%
oi_chg_cs_rank,float32,0.00%
vol_cs_rank,float32,0.00%
amount_cs_rank,float32,0.00%
